职位,公司,地址,薪酬,标签
Java前端开发工程师,西藏佳斯特信息技术有限公司,成都-高新区,0.8-1.5万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '五险一金', '免费班车', '员工旅游', '交通补贴', '股票期权', '年终奖金', '绩效奖金', '出国机会', '专业培训', '定期体检']"
Java高级开发工程师,重庆洛唐信息技术有限公司,重庆-渝北区,0.8-1万/月,"['2年经验', '大专', '招1人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '年终奖金']"
Java前端开发工程师,岳阳市瑞科网络科技有限公司,异地招聘,6-8千/月,"['2年经验', '大专', '招若干人', '07-16发布']"
研发工程师（JAVA西安）,核工业计算机应用研究所,西安,0.5-1万/月,"['1年经验', '大专', '招3人', '07-16发布', '五险一金', '通讯补贴', '专业培训', '年终奖金', '定期体检']"
Java开发工程师(可短期或者长期出差日本),南通苏慧信息技术有限公司,上海,1.5-2万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '五险一金', '出国机会']"
高级JAVA工程师/互联网广告,上海猎鹰网络有限公司,上海-长宁区,2-2.5万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '弹性工作', '定期体检', '员工旅游', '年终奖金', '专业培训']"
Java高级开发工程师,遨游酒店信息技术（深圳）有限责任...,上海,1.5-2.5万/月,"['5-7年经验', '本科', '招5人', '07-16发布', '五险一金', '绩效奖金', '年终奖金']"
java开发工程师（技术经理方向）,上海方付通商务服务有限公司,合肥,1.5-2.5万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '五险一金', '专业培训', '餐饮补贴', '节假日慰问金', '商业保险', '团队活动', '商业体检', '带薪病假', '带薪年假', '扁平化管理']"
Java开发工程师,厦门净能环保科技有限公司,厦门,0.8-1万/月,"['2年经验', '大专', '招1人', '07-16发布', '员工旅游', '出国机会', '五险', '法定节假日', '周末双休']"
Java实习生双休五险一金,沈阳中科智达科技有限公司,沈阳-沈河区,3-4.5千/月,"['无工作经验', '大专', '招若干人', '07-16发布', '五险一金', '补充医疗保险', '员工旅游', '交通补贴', '绩效奖金', '年终奖金', '餐饮补贴', '通讯补贴', '弹性工作', '定期体检']"
Java开发工程师,广州市正唐信息科技有限公司,广州,0.6-1.2万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
java-web工程师,天津友盟科技有限公司,南京-秦淮区,0.7-2万/月,"['3-4年经验', '招2人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '年终奖金', '定期体检']"
Java工程师（中级）,成都百庆人力资源服务有限公司,成都-高新区,0.9-1.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '交通补贴', '通讯补贴', '餐饮补贴', '绩效奖金', '年终奖金']"
Java架构师,上海嘉善网络科技有限公司,上海-杨浦区,2.5-4.5万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '补充公积金', '专业培训', '弹性工作', '年终奖金']"
java软件工程师,长沙市标创信息科技有限公司,长沙,4.5-8千/月,"['3-4年经验', '大专', '招4人', '07-16发布']"
Java Software  Engineer,营利度富信息系统（上海）有限公司,上海,30-40万/年,"['2年经验', '招2人', '07-16发布']"
java架构师（WiFi项目）,杭州橙鹰数据技术有限公司,杭州-余杭区,1.5-2.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '股票期权', '年终奖金', '定期体检']"
Java中级开发工程师,深圳妈妈资本管理有限公司,深圳,1-1.5万/月,"['3-4年经验', '本科', '招3人', '07-16发布', '五险一金', '员工旅游', '绩效奖金', '股票期权']"
软件Java开发工程师,成都优旭科技有限公司,成都,0.3-1万/月,"['1年经验', '本科', '招5人', '07-16发布', '五险一金', '年终奖金', '员工旅游', '出差补贴', '周末双休']"
Java高级开发工程师,电讯盈科企业方案,广州,1.5-2万/月,"['5-7年经验', '本科', '招若干人', '07-16发布', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
狐友Java开发工程师-社交产品中心,搜狐媒体,北京-海淀区,2-3.5万/月,"['2年经验', '本科', '招2人', '07-16发布']"
主任工程师(java方向）（西安）,上海新华控制技术集团科技有限公司,异地招聘,1-2万/月,"['5-7年经验', '本科', '招2人', '07-16发布', '五险一金']"
Java开发工程师,大连谷瑞特科技有限公司,大连-高新园区,6-8千/月,"['3-4年经验', '大专', '招若干人', '07-16发布', '五险一金', '年终奖金', '免费班车', '定期体检', '带薪年假12天']"
Java开发工程师,武汉塞力斯医疗科技股份有限公司,武汉-东西湖区,1.5-2万/月,"['无工作经验', '招2人', '07-16发布', '五险一金', '免费班车', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金']"
高级Java开发工程师,武汉美丽椰岛美容美发有限公司,武汉-江岸区,0.8-1.5万/月,"['无工作经验', '招1人', '07-16发布', '五险一金', '定期体检', '餐饮补贴']"
Java开发工程师,江西风向标教育科技有限公司,南昌-红谷滩新区,0.8-1万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '员工旅游', '五险', '节日福利']"
Java高级工程师,医药魔方,北京-朝阳区,1.5-2.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '弹性工作', '绩效奖金']"
JAVA程序开发工程师,深圳市钱大妈农产品有限公司,深圳-南山区,1.5-2万/月,"['5-7年经验', '本科', '招2人', '07-16发布', '弹性工作', '绩效奖金', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '出国机会', '年终奖金', '定期体检']"
Java开发经理,山东博正中联信息科技股份有限公司,济南-历下区,1-1.5万/月,"['无工作经验', '招2人', '07-16发布']"
Java web 高级软件工程师,深圳美云集网络科技有限责任公司,深圳-龙岗区,1-2万/月,"['5-7年经验', '大专', '招若干人', '07-16发布', '五险一金', '补充公积金', '员工旅游', '餐饮补贴', '年终奖金', '专业培训', '绩效奖金']"
Java高级讲师,长沙欧柏泰克科技有限公司,长沙,1-1.5万/月,"['无工作经验', '大专', '招5人', '07-16发布', '做五休二', '包住宿', '专业培训', '餐饮补贴', '绩效奖金', '带薪年假']"
Java工程师,深圳市微商时代科技有限公司,深圳-南山区,2-3.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '补充公积金', '员工旅游', '餐饮补贴', '定期体检', '年终奖金', '团队分享', '周末双休', '月度福利', '团队旅游']"
java高级工程师（大数据）,欢网科技有限责任公司,北京-朝阳区,1.5-2万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '定期体检', '餐饮补贴', '交通补贴', '年终奖金', '弹性工作', '通讯补贴']"
中级java开发（3-5年）,北京中油瑞飞信息技术有限责任公司,北京-石景山区,1-2万/月,"['3-4年经验', '本科', '招10人', '07-16发布', '补充医疗保险', '免费班车', '员工旅游', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '带薪年假', '周末双休']"
Java开发工程师,广州华工弈高科技有限公司,广州-天河区,0.6-1.2万/月,"['2年经验', '本科', '招若干人', '07-16发布', '五险一金', '餐饮补贴', '通讯补贴', '定期体检', '节日福利', '电脑补助']"
Java开发工程师,中饮巴比食品股份有限公司,上海,1.2-1.5万/月,"['3-4年经验', '大专', '招2人', '07-16发布', '专业培训', '通讯补贴', '餐饮补贴', '绩效奖金', '年终奖金', '五险一金', '交通补贴', '员工旅游']"
Java开发工程师（互金行业）,北京掌众金融信息服务有限公司,异地招聘,2.2-3万/月,"['3-4年经验', '本科', '招若干人', '07-16发布']"
Java软件开发工程师,科易人（苏州）智能装备科技有限公司,苏州,1-1.5万/月,"['2年经验', '招1人', '07-16发布', '交通补贴', '餐饮补贴', '通讯补贴', '做五休二', '节日福利', '五险一金', '绩效奖金', '年终奖金', '员工旅游']"
Java开发实习生  可应届+周末双休,合肥云普信息技术有限公司,合肥-高新区,4.5-6千/月,"['无工作经验', '大专', '招4人', '07-16发布', '五险一金', '餐饮补贴', '补充公积金', '免费班车', '员工旅游', '年终奖金', '定期体检', '弹性工作', '交通补贴', '专业培训']"
JAVA开发工程师,广东岭南通股份有限公司,广州-越秀区,10-15万/年,"['无工作经验', '本科', '招若干人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
Java开发工程师（可实习）双休,大连摩比维迪视频系统有限公司,大连-沙河口区,3.5-4.5千/月,"['无工作经验', '大专', '招若干人', '07-16发布', '节日福利', '五险一金', '带薪年假', '补充医疗保险', '员工旅游', '年终奖金', '周末双休']"
JAVA开发工程师,武汉数信科技有限公司,武汉,3-6千/月,"['1年经验', '大专', '招2人', '07-16发布', '五险一金', '专业培训', '员工旅游', '年终奖金']"
Java高级开发工程师,广州大象健康科技有限公司,广州-天河区,1.2-1.9万/月,"['3-4年经验', '招1人', '07-16发布', '五险一金', '绩效奖金', '年终奖金']"
JAVA软件工程师,江苏公信软件科技发展有限公司,常州,4.5-6千/月,"['1年经验', '大专', '招2人', '07-16发布', '五险一金', '绩效奖金', '专业培训', '股票期权', '定期体检', '年终奖金']"
中级Java工程师,环球雅途集团有限公司,深圳-南山区,1.3-1.8万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '年终奖金', '绩效奖金', '专业培训', '员工旅游', '出国机会']"
JAVA项目经理/高级JAVA软件工程师,深圳市拜特科技股份有限公司,深圳-福田区,1.2-2万/月,"['5-7年经验', '本科', '招2人', '07-16发布', '五险一金', '定期体检', '弹性工作', '专业培训', '项目奖金', '员工旅游', '节日福利', '周末双休']"
Java开发工程师,南京伯罗奔尼能源管理有限公司,南京,0.8-1.2万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检', '周末双休', '出差补贴', '部门奖励']"
Java开发工程师,湖北互信互通信息技术有限公司,武汉-武昌区,0.8-1.5万/月,"['2年经验', '大专', '招1人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '节日福利']"
java工程师（高级）,北京方圆奇正数码科技有限公司,北京,1.5-2.5万/月,"['5-7年经验', '本科', '招若干人', '07-16发布', '五险一金', '做五休二', '弹性工作', '周末双休']"
java开发工程师（急聘）,上海兴候信息科技有限公司,上海-宝山区,4.5-6千/月,"['2年经验', '大专', '招若干人', '07-16发布', '五险一金']"
java工程师,江苏科佳软件开发有限公司,常州,6-8千/月,"['2年经验', '大专', '招2人', '07-16发布', '五险一金', '定期体检', '年终奖金', '员工旅游']"
Java开发主管,上海蔬康网络科技有限公司,上海-浦东新区,1.5-2万/月,"['3-4年经验', '招2人', '07-16发布', '五险一金', '定期体检', '绩效奖金', '年终奖金', '专业培训']"
Java资深开发工程师,上海能资信息科技有限公司,上海-浦东新区,1.8-3万/月,"['5-7年经验', '本科', '招2人', '07-16发布']"
Java开发工程师,深圳万威科技有限公司,深圳-南山区,15-25万/年,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
JAVA软件开发工程师（金融）,天津卓信软件开发有限公司,天津-南开区,4-6千/月,"['无工作经验', '招3人', '07-16发布', '五险一金', '餐饮补贴', '节日福利', '带薪年假', '年终奖金']"
JAVA高级程序员,利驰软件,西安-高新技术...,0.8-1.2万/月,"['2年经验', '本科', '招1人', '07-16发布', '五险一金', '年终奖金', '绩效奖金']"
Java开发工程师,博盛东宇（北京）科技有限公司,北京-昌平区,0.8-1万/月,"['无工作经验', '招若干人', '07-16发布', '五险一金', '免费班车', '定期体检', '年终奖金', '绩效奖金', '弹性工作']"
Java后台开发工程师,世纪恒通科技股份有限公司,洛阳,6-8千/月,"['2年经验', '本科', '招若干人', '07-16发布']"
Java资深开发工程师,苏州中能鼎立电子商务有限公司,苏州,1-1.5万/月,"['3-4年经验', '大专', '招若干人', '07-16发布', '五险一金', '绩效奖金', '5天8小时', '员工旅游', '股票期权', '餐饮补贴', '年终奖金']"
Java开发实习生,广州市殷雷信息技术有限公司,广州-天河区,2-3千/月,"['无工作经验', '招若干人', '07-16发布', '绩效奖金', '周末双休']"
java开发工程师,广州比地数据科技有限公司,广州-天河区,0.8-1.8万/月,"['3-4年经验', '大专', '招2人', '07-16发布', '五险一金', '餐饮补贴', '周末双休']"
JAVA高级工程师,杭州宸鹫科技有限公司,杭州-江干区,2-3万/月,"['2年经验', '大专', '招3人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '年终奖金', '绩效奖金', '专业培训', '出国机会', '定期体检', '免费班车']"
Java高级开发工程师,江苏正瑞信息科技有限公司,南京,1-1.8万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '周末双休', '五险一金', '交通补贴', '带薪年假', '节日福利']"
Java软件工程师,第一线集团,广州-越秀区,0.8-1.2万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '定期体检', '员工旅游']"
初级Java工程师,广州哇嘎文化传媒有限公司,广州-天河区,0.6-1.2万/月,"['1年经验', '大专', '招若干人', '07-16发布', '五险一金', '年终奖金', '弹性工作']"
Java开发工程师,海口徽华盛智能科技有限公司,海口,3-5千/月,"['2年经验', '本科', '招5人', '07-16发布', '五险一金', '周末双休', '包住']"
Java开发工程师,西安瑞宝电子科技有限公司,异地招聘,0.5-1万/月,"['1年经验', '本科', '招10人', '07-16发布', '五险一金', '周末双休', '定期体检', '员工旅游', '年终奖金']"
java 高级工程师,杭州迎创网络科技有限公司,杭州-西湖区,0.8-3万/月,"['2年经验', '本科', '招13人', '07-16发布', '五险一金', '餐饮补贴', '弹性工作', '员工旅游', '专业培训', '员工生日会']"
Java开发工程师,中兴软创科技股份有限公司,南京-江宁区,1.2-2.4万/月,"['无工作经验', '本科', '招若干人', '07-16发布']"
JAVA工程师,广州招点信息科技有限公司,广州-黄埔区,6-8千/月,"['1年经验', '招2人', '07-16发布', '五险一金', '弹性工作', '年终奖金', '绩效奖金']"
Java高级开发工程师,南京呆萌猫网络科技有限公司,南京-建邺区,1-1.5万/月,"['无工作经验', '招若干人', '07-16发布', '五险一金', '餐饮补贴', '弹性工作', '定期体检', '补充医疗保险', '补充公积金', '专业培训', '年终奖金', '无限量下午茶']"
Java开发工程师,二二一数据有限公司,上海-浦东新区,1.5-2.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '定期体检']"
JAVA开发工程师,上海通方信息系统有限公司,上海-静安区,0.4-1.3万/月,"['1年经验', '大专', '招若干人', '07-16发布', '五险一金', '餐饮补贴', '专业培训', '绩效奖金']"
Java开发工程师,武汉吉祥美生物科技有限公司,武汉-武昌区,1.5-2万/月,"['3-4年经验', '本科', '招5人', '07-16发布', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '五险', '提供住宿']"
华为业务线Java开发工程师,长沙市联讯软件技术有限公司,长沙-雨花区,4.5-6千/月,"['无工作经验', '本科', '招2人', '07-16发布', '周末双休', '带薪年假', '五险一金', '节日福利', '加班补贴', '年终奖金']"
Java中级开发工程师,山东省大秦实业集团有限公司,济南,6-8千/月,"['2年经验', '大专', '招1人', '07-16发布', '五险一金', '餐饮补贴', '通讯补贴', '专业培训', '员工旅游', '定期体检', '股票期权', '年终奖金', '绩效奖金']"
Java中级开发工程师,广州瑞友信息技术有限公司,广州-天河区,0.8-1.2万/月,"['2年经验', '招8人', '07-16发布']"
Java开发工程师（上海）,深圳市赢时胜信息技术股份有限公司...,上海-浦东新区,0.8-1.5万/月,"['1年经验', '本科', '招4人', '07-16发布', '五险一金', '绩效奖金', '员工旅游', '年终奖金', '专业培训']"
GIS软件研发工程师java,亚信软件CTC,南京-鼓楼区,0.7-1.5万/月,"['2年经验', '本科', '招2人', '07-16发布', '五险一金', '补充医疗保险', '餐饮补贴', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
Java开发工程师,重庆享控智能科技有限公司,重庆-渝北区,0.8-1.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '定期体检', '年底双薪']"
JAVA开发工程师（急聘）,广州博凡网络科技有限公司,广州-天河区,1-1.8万/月,"['3-4年经验', '招若干人', '07-16发布', '专业培训', '通讯补贴', '股票期权', '定期体检', '周末双休', '五险一金', '年终奖金', '员工旅游', '绩效奖金']"
Java高级开发工程师,钱包生活,上海-闵行区,2.5-3万/月,"['5-7年经验', '本科', '招2人', '07-16发布', '五险一金', '餐饮补贴', '弹性工作', '专业培训', '绩效奖金', '年终奖金']"
Java高级开发工程师,广州市数商云网络科技有限公司,广州-海珠区,1-1.5万/月,"['3-4年经验', '大专', '招若干人', '07-16发布', '员工旅游', '弹性工作', '五险一金', '定期体检']"
金融/财税平台JAVA高级工程师,上海财源投资发展有限公司,上海-浦东新区,0.8-1万/月,"['2年经验', '本科', '招1人', '07-16发布']"
Java开发工程师,杭州炼数科技有限公司,杭州-江干区,1-1.5万/月,"['无工作经验', '招3人', '07-16发布', '五险一金', '绩效奖金', '年终奖金', '股票期权', '弹性工作']"
java讲师（五险一金+ 高薪）,长沙市优才互联网专修学院,长沙-天心区,0.8-1万/月,"['2年经验', '大专', '招2人', '07-16发布', '五险一金', '专业培训', '绩效奖金', '餐饮补贴', '周末双休', '住宿', '年终奖金', '定期体检', '免费班车']"
高级JAVA研发工程师,成都易贷网金融信息服务有限公司,成都-锦江区,1-2万/月,"['无工作经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '年终奖金', '专业培训']"
JAVA工程师,广州精通教育科技有限公司,广州,0.6-1.3万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '员工旅游', '餐饮补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检', '五险']"
Java开发工程师,上海致宇信息技术有限公司,重庆-渝北区,4.5-6千/月,"['无工作经验', '招1人', '07-16发布', '做五休二', '专业培训', '五险一金', '节日福利', '带薪年假', '团队聚餐', '年度旅游', '出国旅游机会', '学习基金']"
高级Java架构师/系统架构师,上海宜希加文化传播有限公司,上海-静安区,3-4万/月,"['8-9年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '专业培训', '年终奖金', '定期体检']"
Java初级软件工程师,上海艾逻思智能设备有限公司,无锡,4.5-6千/月,"['1年经验', '大专', '招2人', '07-16发布', '五险一金', '餐饮补贴', '年终奖金', '弹性工作']"
Java软件开发实习生,海南海辰科技有限公司海口分公司,海口,4.5-6千/月,"['无工作经验', '大专', '招若干人', '07-16发布']"
Java 高级工程师,北京联创高科信息技术有限公司,太原,1-1.5万/月,"['5-7年经验', '本科', '招3人', '07-16发布', '五险一金', '绩效奖金', '专业培训', '员工旅游']"
Java后台开发工程师,广州市拉丁互联网科技股份有限公司,广州-天河区,0.8-1万/月,"['1年经验', '大专', '招1人', '07-16发布', '五险一金', '员工旅游', '年终奖金', '绩效奖金']"
Java工程师（集团））,爱客仕网络科技有限公司,杭州-江干区,1.2-2.7万/月,"['2年经验', '大专', '招1人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '年终奖金']"
Java中级,郑州李唐电子科技有限公司,郑州,0.7-1万/月,"['2年经验', '本科', '招若干人', '07-16发布', '五险一金', '员工旅游', '绩效奖金', '年终奖金', '定期体检']"
java工程师,上海问世信息科技有限公司,上海-浦东新区,1-1.5万/月,"['3-4年经验', '大专', '招2人', '07-16发布']"
支付JAVA,湖南微阵信息技术有限公司,长沙-天心区,1.5-2万/月,"['5-7年经验', '大专', '招2人', '07-16发布', '包住宿', '带薪年假', '五险一金', '餐饮补贴', '节日福利', '全勤奖', '专业培训', '加班补贴', '绩效奖金', '年终奖金']"
初级java工程师（双休+五险一金）,山东兰剑物流科技股份有限公司,济南,3-5千/月,"['无工作经验', '招3人', '07-16发布', '五险一金', '补充公积金', '交通补贴', '餐饮补贴', '年终奖金']"
JAVA开发工程师,北京光宇在线科技有限责任公司,北京,0.7-1万/月,"['无工作经验', '本科', '招若干人', '07-16发布', '综合医疗', '提供住宿', '餐饮补贴', '转正机会']"
Java高级开发工程师,中祥创能（北京）科技产业有限公司,武汉-江汉区,0.8-1.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '周末双休', '年终奖金', '员工旅游', '定期体检', '专业培训', '绩效奖金']"
Java高级开发工程师,山东中磁视讯股份有限公司,武汉-洪山区,0.8-1.5万/月,"['5-7年经验', '大专', '招3人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '定期体检', '股票期权', '绩效奖金', '午餐补助', '年节福利']"
Java架构师,深圳市运维网络有限公司,深圳-福田区,2-2.5万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '周末双休', '年底双薪']"
Java高级开发工程师,深圳掌尚蚂蚁科技有限公司,深圳-南山区,1-2万/月,"['5-7年经验', '大专', '招2人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '股票期权', '弹性工作']"
Java软件工程师,广州飞卓科汇信息科技有限公司,广州-越秀区,6-8千/月,"['1年经验', '招若干人', '07-16发布', '五险一金', '补充医疗保险', '员工旅游', '通讯补贴', '绩效奖金', '年终奖金', '定期体检', '带薪年假', '年终双薪']"
Java开发工程师(002736),卓望数码技术（深圳）有限公司,深圳-南山区,1-1.7万/月,"['3-4年经验', '本科', '招若干人', '07-16发布']"
JAVA高级软件开发工程师,南京品德科技有限责任公司,南京-雨花台区,0.8-1.5万/月,"['3-4年经验', '大专', '招2人', '07-16发布', '五险一金', '弹性工作', '专业培训', '员工旅游', '年终奖金']"
Java开发工程师,深圳新河通创科技有限公司,深圳-南山区,1-1.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '专业培训', '年终奖金', '加班补贴']"
Java开发工程师,广东柯内特环境科技有限公司,异地招聘,0.8-1万/月,"['2年经验', '大专', '招若干人', '07-16发布', '五险一金', '专业培训', '年终奖金', '弹性工作', '导师制', '成长空间']"
Java编程开发助理--双休,湖北华奥星空体育产业联盟发展有限...,武汉-武昌区,4-6千/月,"['无工作经验', '大专', '招4人', '07-16发布', '五险一金', '补充公积金', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
Java开发,福州优核动力数字科技有限公司,福州-鼓楼区,4-8千/月,"['1年经验', '大专', '招若干人', '07-16发布', '五险一金', '餐饮补贴', '专业培训', '年终奖金', '股票期权']"
Java开发工程师,广州市启邦国际物流有限公司,广州-南沙区,0.6-1万/月,"['2年经验', '大专', '招2人', '07-16发布', '免费班车', '五险', '定期体检', '包住', '团队聚餐', '年终奖金', '单双休']"
java高级程序员,武汉洛比科技有限公司,武汉,0.8-1万/月,"['2年经验', '本科', '招若干人', '07-16发布', '五险一金', '补充公积金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '专业培训', '定期体检']"
Java高级开发工程师,上海津逸国际贸易有限公司,上海-闵行区,1-2万/月,"['无工作经验', '招2人', '07-16发布', '员工旅游', '餐饮补贴', '绩效奖金']"
Java开发工程师,上海君睿信息技术有限公司,常州,4.5-8千/月,"['2年经验', '大专', '招3人', '07-16发布', '五险一金', '绩效奖金', '年终奖金', '定期体检']"
Java资深开发工程师,上海迪维欧电子设备有限公司,上海-徐汇区,1.1-1.8万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '年终奖金']"
Java开发工程师,四川御顺金融外包服务有限公司,成都,0.6-1万/月,"['2年经验', '大专', '招2人', '07-16发布', '五险一金', '员工旅游', '专业培训', '出国机会', '绩效奖金', '年终奖金']"
JAVA软件工程师,上海达联电子科技有限公司,上海,0.8-2万/月,"['3-4年经验', '大专', '招若干人', '07-16发布', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金']"
Java开发工程师（海外银行项目）,深圳市长亮科技股份有限公司,深圳,0.8-1万/月,"['1年经验', '本科', '招2人', '07-16发布', '绩效奖金', '年终奖金']"
JAVA软件工程师,中秀科技（无锡）有限公司,无锡-滨湖区,6-8千/月,"['2年经验', '本科', '招1人', '07-16发布', '五险一金', '餐饮补贴']"
Java高级开发工程师,武汉一起好金融信息服务股份有限公司,武汉,1.4-1.8万/月,"['3-4年经验', '招1人', '07-16发布', '五险一金', '员工旅游', '周末双休', '全勤奖', '节日福利']"
java开发工程师,沈阳彩檬科技有限公司,沈阳-浑南区,6-8千/月,"['3-4年经验', '本科', '招1人', '07-16发布']"
Java开发工程师,深圳中科软科技信息系统有限公司,深圳-罗湖区,0.5-1.2万/月,"['无工作经验', '大专', '招若干人', '07-16发布', '五险一金', '补充医疗保险', '员工旅游', '年终奖金', '定期体检', '专业培训', '通讯补贴']"
高级JAVA开发,深圳市星众传媒科技有限公司,深圳-福田区,1.5-2万/月,"['3-4年经验', '本科', '招3人', '07-16发布', '五险一金', '股票期权', '周末双休']"
游戏服务端开发工程师（Java）,上海小游网络科技有限公司,上海-普陀区,1-1.5万/月,"['2年经验', '大专', '招若干人', '07-16发布', '五险一金']"
JAVA工程师/高级软件工程师（5-12K/月 自主产品开发）,上海火了信息科技有限公司,上海-普陀区,0.8-1万/月,"['2年经验', '本科', '招1人', '07-16发布']"
