职位,公司,地址,薪酬,标签
高级JAVA开发工程师,美格智能技术股份有限公司上海分公司,上海-徐汇区,1-1.5万/月,"['无工作经验', '大专', '招若干人', '07-16发布', '五险一金', '定期体检', '年终奖金', '员工旅游']"
Java Software Architect 231810,Ericsson (China) Communications...,广州,,"['无工作经验', '招若干人', '07-16发布']"
Java开发工程师,杭州思迈投资管理有限公司,杭州-拱墅区,0.8-1.6万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '做五休二', '带薪年假', '全勤奖', '节日福利', '周末双休']"
Java高级开发岗,深圳前海用友力合金融服务有限公司,深圳-南山区,1.5-2万/月,"['5-7年经验', '本科', '招5人', '07-16发布', '五险一金', '专业培训', '绩效奖金', '年终奖金', '定期体检', '通讯补贴', '出国机会', '员工旅游']"
Java开发工程师,江苏中兴华易科技发展有限公司长沙...,长沙-雨花区,0.8-1万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '餐饮补贴', '定期体检', '绩效奖金', '年终奖金', '员工旅游', '节日福利', '带薪年假']"
Java服务器开发工程师,深圳市威富视界有限公司,深圳-宝安区,1.2-3万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '免费班车', '餐饮补贴', '绩效奖金', '员工宿舍', '年终奖金', '股票期权']"
Java开发工程师,极限元（北京）智能科技股份有限公...,北京-海淀区,1-2万/月,"['2年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '绩效奖金', '弹性工作', '定期体检', '下午茶水果', '年底双薪']"
java中级开发工程师,上海朝阳永续信息技术股份有限公司,上海-浦东新区,1-1.5万/月,"['无工作经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '年终奖金', '绩效奖金', '专业培训', '定期体检']"
Java开发工程师,南京阅明文化传播有限公司,南京-鼓楼区,1-1.5万/月,"['无工作经验', '本科', '招2人', '07-16发布', '周末双休', '带薪年假', '全勤奖', '绩效奖金']"
高级软件工程师(java),广东开普云信息科技股份有限公司,东莞,8-13万/年,"['3-4年经验', '本科', '招3人', '07-16发布', '五险一金', '餐饮补贴', '绩效奖金', '年终奖金']"
Java中级开发工程师,广州日昱物流有限公司,广州-白云区,0.8-1.2万/月,"['2年经验', '大专', '招1人', '07-16发布', '五险一金', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '员工旅游', '补充医疗保险', '弹性工作']"
Java助教,湖南卓景京信息技术有限公司,长沙-岳麓区,6-8千/月,"['无工作经验', '大专', '招2人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '带薪年假', '小暑假']"
中级Java开发工程师,山东贰伍壹柒信息科技有限公司,济南,0.5-1万/月,"['3-4年经验', '大专', '招2人', '07-16发布', '五险一金', '通讯补贴', '定期体检', '弹性工作', '绩效奖金', '加班补贴', '周末双休', '带薪年假', '员工旅游', '节日福利']"
高级Java程序员,南京世赢乾网络科技有限公司,南京,1-2万/月,"['无工作经验', '招1人', '07-16发布', '弹性工作', '节日福利', '绩效奖金', '交通补贴', '餐饮补贴']"
Java开发工程师,北京铁建互联科技有限公司,北京-石景山区,1-1.5万/月,"['无工作经验', '招10人', '07-16发布']"
java开发工程师,北京宇电科技集团有限公司,北京-朝阳区,1-1.5万/月,"['无工作经验', '招若干人', '07-16发布', '五险一金', '员工旅游', '定期体检', '餐饮补贴']"
Java开发老师（上市公司，五险一金）,广西柳州达内软件科技有限公司,柳州,5-8千/月,"['无工作经验', '大专', '招1人', '07-16发布', '五险一金', '专业培训', '绩效奖金', '绩效工资', '员工福利']"
Java高级程序员,威发（西安）软件有限公司,西安-高新技术...,0.6-1万/月,"['3-4年经验', '本科', '招3人', '07-16发布', '五险一金', '专业培训', '定期体检', '员工旅游', '补充医疗保险', '年终奖金', '部分餐补', '部分交通补', '部分商业保险', '文娱体育锻炼']"
Java工程师,陕西源天信息科技有限公司,西安-高新技术...,0.6-1万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '弹性工作', '交通补贴', '餐饮补贴', '通讯补贴', '补充公积金', '补充医疗保险']"
Java开发经理,广州市技安电子科技有限公司,广州,1.5-2.5万/月,"['5-7年经验', '大专', '招1人', '07-16发布', '周末双休', '五险一金', '带薪年假', '年底双薪', '员工旅游', '节日福利', '生日福利', '股票期权']"
Java开发工程师,湖北兵者智能科技有限公司,孝感,0.5-1万/月,"['3-4年经验', '本科', '招3人', '07-16发布', '五险一金', '年终奖金', '绩效奖金', '股票期权']"
淘宝技术部-JAVA研发工程师/技术专家,阿里巴巴集团,杭州,,"['3-4年经验', '本科', '招3人', '07-16发布']"
Java高级开发工程师,杭州德协电子科技有限公司,杭州-西湖区,0.5-1万/月,"['无工作经验', '招10人', '07-16发布', '做五休二', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '交通补贴', '通讯补贴']"
资深Java开发工程师,杭州泉水金融信息服务有限公司,杭州-拱墅区,1.2-2.5万/月,"['3-4年经验', '本科', '招3人', '07-16发布', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检', '五险', '员工旅游']"
Java开发工程师,上海哲凌科技有限公司,上海,0.8-1万/月,"['2年经验', '招若干人', '07-16发布', '五险一金', '绩效奖金', '年终奖金', '定期体检']"
Java开发工程师,湖北兵者智能科技有限公司,孝感,0.5-1万/月,"['3-4年经验', '本科', '招3人', '07-16发布', '五险一金', '年终奖金', '绩效奖金', '股票期权']"
淘宝技术部-JAVA研发工程师/技术专家,阿里巴巴集团,杭州,,"['3-4年经验', '本科', '招3人', '07-16发布']"
Java高级开发工程师,杭州德协电子科技有限公司,杭州-西湖区,0.5-1万/月,"['无工作经验', '招10人', '07-16发布', '做五休二', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '交通补贴', '通讯补贴']"
资深Java开发工程师,杭州泉水金融信息服务有限公司,杭州-拱墅区,1.2-2.5万/月,"['3-4年经验', '本科', '招3人', '07-16发布', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检', '五险', '员工旅游']"
Java开发工程师,上海哲凌科技有限公司,上海,0.8-1万/月,"['2年经验', '招若干人', '07-16发布', '五险一金', '绩效奖金', '年终奖金', '定期体检']"
Java Developer,北京远程睿智商务咨询有限公司,北京-朝阳区,1-1.5万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '五险一金', '补充医疗保险', '弹性工作', '定期体检', '节日福利', '年底双薪']"
Java软件工程师,中科软科技股份有限公司,长春,0.8-1万/月,"['无工作经验', '本科', '招若干人', '07-16发布', '五险一金', '年终奖金', '餐饮补贴', '交通补贴', '定期体检']"
高级Java工程师（支付金融方向）,广州混沌网络科技有限公司,广州-天河区,1.5-2.5万/月,"['5-7年经验', '大专', '招1人', '07-16发布', '五险一金', '餐饮补贴', '专业培训', '出国机会', '员工旅游']"
Java开发工程师,山东爱信诺航天信息有限公司,济南-高新区,6-8千/月,"['2年经验', '本科', '招10人', '07-16发布', '五险一金', '绩效奖金', '周末双休', '带薪年假', '节日福利', '定期体检', '免费班车']"
Java后台高级工程师,陕西车佰度信息科技有限公司,西安-未央区,0.8-1万/月,"['3-4年经验', '大专', '招3人', '07-16发布', '员工旅游', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '弹性工作', '餐饮补贴']"
java后端工程师,好未来教育（原学而思教育),苏州-工业园区,4.5-6千/月,"['1年经验', '本科', '招1人', '07-16发布', '五险一金', '补充医疗保险', '员工旅游', '年终奖金', '定期体检']"
Java初级开发工程师,驴妈妈旅游网,上海-普陀区,1-1.5万/月,"['无工作经验', '招2人', '07-16发布', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金', '六险一金']"
Java开发工程师,中港通集团有限公司,深圳-南山区,1-1.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '带薪年假', '五险一金', '免费班车', '全勤奖', '节日福利', '年终奖金']"
java架构师,深圳市成诺鼎业投资管理有限公司,深圳-龙华新区,2-3万/月,"['5-7年经验', '大专', '招1人', '07-16发布', '五险一金', '绩效奖金', '周末双休', '节日福利']"
Java中级开发工程师,成都信通信息技术有限公司,成都-高新区,0.8-1万/月,"['3-4年经验', '本科', '招4人', '07-16发布', '五险一金', '餐饮补贴', '通讯补贴', '补充医疗保险', '补充公积金', '绩效奖金', '年终奖金', '定期体检']"
Java高级软件开发工程师,成都心泽科技有限公司,成都-武侯区,0.8-1.2万/月,"['3-4年经验', '大专', '招5人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '年终奖金']"
初级Java开发工程师（双休）,杭州斯荙克信息技术有限公司,杭州-上城区,4-6千/月,"['无工作经验', '高中', '招3人', '07-16发布', '五险一金', '定期体检', '年终奖金', '绩效奖金', '补充医疗保险']"
java开发工程师,北京深蓝海域信息科技有限公司,合肥-包河区,6-8千/月,"['2年经验', '本科', '招2人', '07-16发布', '五险一金', '专业培训', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '弹性工作']"
Java程序员,哈尔滨华泽数码科技有限公司,哈尔滨-南岗区,4-8千/月,"['1年经验', '大专', '招5人', '07-16发布', '五险一金', '全勤奖', '绩效奖金', '加班补贴']"
Java讲师,广州牵引力教育科技有限公司杭州西...,杭州-西湖区,15-20万/年,"['2年经验', '大专', '招2人', '07-16发布', '五险一金', '员工旅游', '专业培训', '出国机会', '绩效奖金', '年终奖金', '定期体检', '团队绩效', '年底双薪', '晋升空间']"
Java高级开发工程师,河南金明源信息技术有限公司,郑州,1-1.5万/月,"['无工作经验', '招4人', '07-16发布', '五险一金', '员工旅游', '专业培训', '年终奖金', '定期体检', '节日福利']"
java程序员,广东兴发铝业有限公司,佛山,0.4-1.2万/月,"['无工作经验', '大专', '招3人', '07-16发布', '免费班车', '员工旅游', '年终奖金', '专业培训', '定期体检', '工作餐']"
Java开发工程师,上海誉渡信息技术有限公司,杭州-滨江区,1.5-2万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '股票期权']"
Java资深开发工程师,上海济含实业有限公司,上海-浦东新区,2.5-4万/月,"['5-7年经验', '硕士', '招若干人', '07-16发布', '五险一金', '弹性工作', '绩效奖金', '定期体检', '年终奖金', '员工旅游', '交通补贴', '通讯补贴']"
云计算Java开发工程师,上海光华冠群软件有限公司,成都,0.6-1.2万/月,"['无工作经验', '招若干人', '07-16发布', '五险一金', '弹性工作', '补充医疗保险', '定期体检', '员工旅游']"
Java高级软件工程师（Team Leader）,雷技信息科技（上海）有限公司,上海-浦东新区,2-2.5万/月,"['8-9年经验', '本科', '招1人', '07-16发布']"
Java开发工程师,北京亿和博嘉教育科技有限公司,北京-朝阳区,1-1.5万/月,"['1年经验', '大专', '招2人', '07-16发布', '五险一金', '年终奖金', '全勤奖', '节日福利', '弹性工作']"
java开发实习生,成都羽帆科技有限公司,成都-青羊区,3-4.5千/月,"['无工作经验', '大专', '招5人', '07-16发布', '五险一金', '员工旅游', '绩效奖金', '年终奖金', '专业培训', '弹性工作', '周末双休']"
Java开发程序员,长沙市赛百网络科技有限公司,长沙-岳麓区,4-6千/月,"['无工作经验', '大专', '招2人', '07-16发布', '交通补贴', '餐饮补贴', '弹性工作']"
Java开发工程师,深圳布莱克信息科技有限公司,深圳-宝安区,1.2-1.5万/月,"['3-4年经验', '大专', '招若干人', '07-16发布', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金']"
JAVA系统开发工程师,济南纳维信息技术有限公司,济南,0.5-1万/月,"['1年经验', '本科', '招4人', '07-16发布', '五险一金', '定期体检', '绩效奖金', '年终奖金', '交通补贴']"
Java开发工程师,广州海颐软件有限公司,广州,5-8千/月,"['1年经验', '本科', '招若干人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '生日贺礼', '电脑补贴', '考证奖励']"
Java开发工程师,上海图丽信息技术有限公司,上海-浦东新区,6-8千/月,"['1年经验', '本科', '招2人', '07-16发布', '五险一金', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检']"
Java软件工程师（金融）,江苏睿希信息科技有限公司,南京,4-9千/月,"['无工作经验', '招10人', '07-16发布']"
Java开发工程师,大连开鱼科技有限公司,大连-高新园区,3-4.5千/月,"['无工作经验', '招3人', '07-16发布']"
java高级软件开发工程师,广州创想云科技有限公司,广州,1-1.8万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '补充医疗保险', '交通补贴', '员工旅游', '专业培训', '定期体检']"
Java软件工程师,武汉智菱物联科技有限公司,武汉-武昌区,0.8-1万/月,"['3-4年经验', '大专', '招10人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '周末双休', '股票期权', '节日福利', '弹性工作', '生日福利', '春节假期14天']"
移动端开发实习生（java/android）+高薪双休,大连星宇科技有限公司,大连,3-4.5千/月,"['无工作经验', '招3人', '07-16发布']"
Java工程师,上海达牛信息技术有限公司,上海-虹口区,0.8-1.5万/月,"['5-7年经验', '本科', '招若干人', '07-16发布']"
Java开发组长,浙江图讯科技股份有限公司,杭州,1.2-2万/月,"['5-7年经验', '招2人', '07-16发布']"
Java实习生/双休,深圳市威立聚网络科技有限公司,深圳-南山区,2.8-4.5千/月,"['无工作经验', '中专', '招4人', '07-16发布', '五险一金', '包住宿', '周末双休', '高温补贴', '全勤奖', '绩效奖金', '节日福利']"
JAVA开发工程师,北京人和创建信息技术有限公司,北京-大兴区,1-1.5万/月,"['3-4年经验', '本科', '招4人', '07-16发布', '五险一金', '定期体检', '供住', '餐补', '年中分红', '节日福利']"
java开发工程师（台州）,浙江网新恩普软件有限公司,台州,0.6-1万/月,"['无工作经验', '招1人', '07-16发布', '五险一金', '餐饮补贴', '免费班车', '员工旅游', '通讯补贴', '交通补贴', '年终奖金', '定期体检']"
java高级研发工程师,北京恒泰实达科技股份有限公司,南京,0.6-1万/月,"['2年经验', '本科', '招2人', '07-16发布']"
软件开发实习生（java/.net，月薪4000起）,苏州华米信息技术有限公司,苏州,4-5千/月,"['无工作经验', '大专', '招6人', '07-16发布', '五险一金', '带薪年假', '年终奖金', '绩效奖金', '员工旅游', '定期体检', '节日福利', '餐饮补贴']"
Java高级开发工程师,深圳艾米科技有限公司,深圳-南山区,1-2万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '五险一金', '周末双休', '员工旅游', '绩效奖金', '弹性工作']"
Java开发工程师,西安科怡信息技术有限公司,西安-高新技术...,4.5-6千/月,"['无工作经验', '招2人', '07-16发布', '餐饮补贴', '交通补贴', '加班补贴']"
Java高级开发工程师,苏州紫方数据科技有限公司,苏州-工业园区,1.5-2万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '年终奖金']"
java开发工程师,济南驰昊电力科技有限公司,济南,6-8千/月,"['1年经验', '本科', '招5人', '07-16发布', '五险一金', '员工旅游', '专业培训', '通讯补贴', '餐饮补贴', '交通补贴', '绩效奖金', '定期体检']"
高级JAVA开发工程师,上海承大网络科技服务有限公司,武汉-东西湖区,1-1.5万/月,"['5-7年经验', '本科', '招2人', '07-16发布']"
Java高级开发工程师,武汉颂大教育科技股份有限公司,武汉-江夏区,1-1.5万/月,"['5-7年经验', '招3人', '07-16发布', '五险一金', '免费班车', '员工旅游', '股票期权', '绩效奖金', '配手机送话费']"
Java软件开发工程师,南京瑞奕惟扬信息科技有限公司,南京-秦淮区,0.5-1.1万/月,"['2年经验', '本科', '招6人', '07-16发布', '五险一金', '弹性工作', '员工旅游', '补充医疗保险', '通讯补贴', '专业培训', '出国机会', '年终奖金', '定期体检', '餐饮补贴']"
Java架构师,成都天和软件技术有限公司,成都,20-30万/年,"['5-7年经验', '本科', '招1人', '07-16发布']"
Java高级开发工程师,北京新网医讯技术有限公司,北京-西城区,1-1.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
JAVA中级工程师,江苏车里车外信息技术有限公司,南京,1-1.5万/月,"['3-4年经验', '本科', '招4人', '07-16发布', '五险一金', '员工旅游', '股票期权', '年终奖金', '绩效奖金', '专业培训', '定期体检']"
JAVA技术经理,学府（国际）咨询机构,广州,1.5-2万/月,"['8-9年经验', '本科', '招1人', '07-16发布', '五险一金', '补充公积金', '员工旅游', '绩效奖金', '年终奖金', '股票期权', '定期体检', '弹性工作']"
JAVA高级软件工程师,成都亿橙科技有限公司,成都-武侯区,1-1.5万/月,"['5-7年经验', '本科', '招2人', '07-16发布', '绩效奖金', '年终奖金', '股票期权', '专业培训']"
Java TL,普华永道信息技术（上海）有限公司,上海-浦东新区,,"['无工作经验', '招若干人', '07-16发布']"
高级软件工程师(JAVA),兆恒电脑科技（上海）有限公司广州...,上海-徐汇区,0.8-1万/月,"['2年经验', '本科', '招若干人', '07-16发布']"
Java高级开发工程师,上海联蔚信息科技有限公司,上海-黄浦区,2-2.5万/月,"['无工作经验', '招1人', '07-16发布', '五险一金', '免费班车', '专业培训', '餐饮补贴', '绩效奖金', '年终奖金']"
Java开发工程师,北京先进数通信息技术股份公司,昆明,4-8千/月,"['1年经验', '本科', '招3人', '07-16发布', '五险一金', '定期体检', '年终奖金', '餐饮补贴']"
Java开发工程师,深圳乐易住智能科技股份有限公司,深圳-福田区,1-2万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '股票期权', '年终奖金', '绩效奖金', '出国机会', '专业培训', '定期体检', '弹性工作']"
JAVA开发（中间件）,七彩阳光（北京）旅行社有限公司,北京-海淀区,1.5-3万/月,"['3-4年经验', '大专', '招3人', '07-16发布']"
java软件开发工程师,济南华科仁杰科技有限公司,济南,4.5-6千/月,"['1年经验', '大专', '招10人', '07-16发布', '五险一金', '绩效奖金', '定期体检', '通讯补贴', '专业培训', '年终奖金', '交通补贴', '员工旅游']"
Java高级开发工程师(云平台),南京新联软件有限责任公司,南京-江宁区,1-2.5万/月,"['5-7年经验', '大专', '招8人', '07-16发布', '五险一金', '年终奖金']"
Java研发软件工程师,北京富讯盈科网络技术有限公司,北京-西城区,1-1.5万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '交通补贴', '带薪年假', '全勤奖', '定期体检', '电脑补助', '免费午餐']"
Java架构师,杭州万盈网络科技有限公司,杭州-上城区,1.5-2.5万/月,"['5-7年经验', '大专', '招1人', '07-16发布', '五险一金', '餐饮补贴', '年终奖金', '定期体检', '弹性工作']"
Java高级软件开发工程师,上海紫越网络科技股份有限公司,上海-静安区,1-1.5万/月,"['5-7年经验', '本科', '招1人', '07-16发布']"
Java高级开发工程师（金融行业）,上海金指软件技术有限公司,上海-浦东新区,1.5-2.2万/月,"['5-7年经验', '本科', '招5人', '07-16发布', '五险一金', '餐饮补贴', '定期体检', '专业培训', '免费班车', '员工旅游', '交通补贴', '年终奖金', '股票期权', '绩效奖金']"
Java开发工程师,北京赛融信科技股份有限公司,北京-东城区,0.8-1万/月,"['1年经验', '本科', '招3人', '07-16发布', '五险一金', '餐饮补贴', '年终奖金', '定期体检']"
Java开发工程师,南京恩博科技有限公司,南京-秦淮区,6-8千/月,"['1年经验', '本科', '招3人', '07-16发布', '五险一金', '餐饮补贴', '专业培训', '年终奖金', '绩效奖金', '弹性工作']"
Java开发工程师（东莞南城）,东莞六沐资产管理有限公司,东莞,0.6-1万/月,"['2年经验', '大专', '招1人', '07-16发布', '周末双休', '包中餐', '节日福利', '专业培训', '绩效奖金', '晋升空间']"
Java开发工程师,上海银生宝电子支付服务有限公司,上海-浦东新区,2-2.5万/月,"['3-4年经验', '本科', '招若干人', '07-16发布']"
中高级Java开发工程师（出差）-北京-00707,中信网络科技股份有限公司,北京-朝阳区,0.9-1.4万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '补充医疗保险', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
Java开发工程师,苏州同思软件有限公司,异地招聘,1-1.5万/月,"['3-4年经验', '大专', '招5人', '07-16发布']"
JAVA高级开发工程师,上海富友金融服务集团股份有限公司,武汉,1.5-2万/月,"['3-4年经验', '大专', '招若干人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检']"
Java开发工程师(成都研发部)—消费者BG,科大讯飞股份有限公司,成都,1-2万/月,"['3-4年经验', '本科', '招5人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '定期体检', '免费班车']"
Java开发工程师,江西迈思科技有限公司,南昌,4-8千/月,"['无工作经验', '招2人', '07-16发布', '五险一金', '员工旅游', '专业培训', '通讯补贴', '餐饮补贴', '定期体检', '年终奖金', '绩效奖金']"
Java工程师实训生,青岛青软科技有限公司,异地招聘,3-4.5千/月,"['无工作经验', '大专', '招5人', '07-16发布', '做五休二', '弹性工作', '带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '加班补贴', '通讯补贴']"
高级Java工程师,中电九天智能科技有限公司,成都-双流区,1.4-2.2万/月,"['8-9年经验', '招3人', '07-16发布', '五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '通讯补贴', '弹性工作', '定期体检']"
Java开发工程师,上海韵达货运有限公司,上海-青浦区,0.8-1万/月,"['3-4年经验', '大专', '招4人', '07-16发布', '绩效奖金', '专业培训', '社保', '免费班车', '员工旅游', '五险一金', '年终奖金']"
Java开发工程师,北京高阳金信信息技术有限公司,上海-徐汇区,1.2-1.7万/月,"['3-4年经验', '本科', '招若干人', '07-16发布']"
Java开发工程师（大数据方向）,劲牌有限公司,异地招聘,6-8千/月,"['2年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '免费班车', '专业培训', '出国机会', '年终奖金', '弹性工作', '定期体检', '通讯补贴', '餐饮补贴']"
Java工程师,乐投财富（北京）投资管理有限公司...,武汉-江夏区,1-1.8万/月,"['无工作经验', '招8人', '07-16发布', '五险一金', '绩效奖金', '年终奖金', '周末双休', '带薪年假']"
java开发工程师,深圳市菲普莱体育发展有限公司,深圳-宝安区,0.8-1万/月,"['2年经验', '本科', '招1人', '07-16发布', '五险一金', '补充医疗保险', '员工旅游', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检']"
中级Java开发工程师,武汉博睿英特科技有限公司,武汉,0.6-1.2万/月,"['2年经验', '大专', '招4人', '07-16发布', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
Java高级开发工程师,上海芃羽信息科技有限公司,上海-浦东新区,1.5-3万/月,"['无工作经验', '招若干人', '07-16发布', '五险一金', '免费班车', '专业培训', '绩效奖金', '股票期权']"
Java开发工程师,苏州百智通信息技术有限公司,苏州-工业园区,4-8千/月,"['无工作经验', '大专', '招3人', '07-16发布']"
Java后台开发工程师,武汉光庭信息技术股份有限公司,武汉,0.6-1.2万/月,"['2年经验', '本科', '招1人', '07-16发布', '五险一金', '弹性工作', '定期体检', '补充医疗保险', '免费班车']"
Java开发工程师,浙江给力信息技术有限公司,杭州-余杭区,0.8-1万/月,"['1年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '专业培训', '年终奖金']"
高级Java软件工程师,上海络安信息技术有限公司,上海-浦东新区,2-2.5万/月,"['5-7年经验', '本科', '招若干人', '07-16发布', '五险一金', '员工旅游', '专业培训', '年终奖金', '定期体检']"
JAVA软件软件工程师,陕西万德加投资管理有限公司,西安,1-1.5万/月,"['5-7年经验', '大专', '招2人', '07-16发布', '交通补贴', '绩效奖金', '年终奖金', '股票期权', '定期体检', '生日福利', '节日福利', '五险一金', '周末双休']"
Java工程师（MES产品）,苏州华冠科技有限公司,异地招聘,1-1.5万/月,"['2年经验', '招2人', '07-16发布']"
Java开发工程师,南京能瑞电力科技有限公司,南京,17-20万/年,"['无工作经验', '本科', '招2人', '07-16发布', '五险一金', '免费班车', '年终奖金', '专业培训', '绩效奖金', '项目奖金', '免费提供食宿', '员工旅游', '定期体检']"
Java开发工程师,上海北溟数据科技有限公司,上海-浦东新区,0.8-1.5万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '餐饮补贴', '专业培训', '绩效奖金', '带薪年假', '节日福利', '年终奖金', '周末双休', '年终分红', '晋升机会']"
JAVA开发工程师,四川三德信息技术有限责任公司,成都-武侯区,0.6-1.5万/月,"['无工作经验', '本科', '招若干人', '07-16发布', '五险一金', '交通补贴', '通讯补贴', '绩效奖金', '专业培训', '年终奖金']"
JAVA软件工程师,广东佳米科技有限公司,珠海-珠海高新区,0.6-1万/月,"['1年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '年终奖金', '股票期权', '定期体检', '带薪年假']"
JAVA开发,安徽省恒仁信息科技有限公司,合肥-政务区,0.7-1万/月,"['2年经验', '本科', '招3人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '绩效奖金', '周末双休', '年终奖金', '员工旅游', '专业培训', '包吃']"
Java工程师,北京鲸鹳科技有限公司,北京-东城区,0.8-1万/月,"['3-4年经验', '本科', '招1人', '07-16发布']"
Java高级开发工程师,北京麦迪克斯科技有限公司,北京,1.5-2.5万/月,"['3-4年经验', '本科', '招8人', '07-16发布', '五险一金', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '弹性工作']"
